token_address,token_name,token_symbol,open_source,token_contract_name,official_website,matched_keywords,matched_significant_keywords,pair_address,valuable_token_volume
0xaCC0C4c3B9b910be243532CCEAFb96583AF89464,TRQ,TRQ,1,TRQ,null,32,12,,
,,,,,,,,0xcdA3b7cC2eDCA44E0C23fb831D90AE87F142B69F,41791.174541
0x9D278f15A4C616De6FFBF45b524F13887aA06b74,RABBIT,RABBIT,1,RABBIT,null,2,4,,
,,,,,,,,0xbD5c0B1eEe8F51738A8823A8af8A0C72b68e9AF3,3544.809973
,,,,,,,,0x1567a09640bD9da36f34C4DBF07B969d0cE34Bff,4.4262
0x779ed4FFfDFcdD6bCdBe6F6826E528B0AC999999,MILE,ML,1,BABYTOKEN,null,36,1,,
,,,,,,,,0x70f969faC89538eA6791c21e1d4155c4DDDEE75A,61357.3545
,,,,,,,,0xd958F57F720beFcd446E8f7Bf4DeA0a518274721,92.213138
0x73b3B1b2cACAB92963144277458E2E9851517022,UNI Token,UNI,1,UNI,null,10,1,,
,,,,,,,,0xe15206dB2c604a599779298CBDc0a4Cf34e98317,0
,,,,,,,,0x17397bB571918906A175C148Bc7A7c8A90FC9f65,334500.653786
,,,,,,,,0x1dCbDD17bA37Dc7A61758A1a2A0e2bAdd2Fc0aE6,0
,,,,,,,,0x5f67A1c7BE4CaF0bfa551Bf2010c24bfd9F7F058,0
,,,,,,,,0xDa939F2130Fe43681CdeA96c5CAD122b36e64e93,0
0x9FE22D981F2C9F3563d044c43E14feEeCDe8FC54,Venus Token,VUS,1,VenusToken,null,44,7,,
,,,,,,,,0x32E887A4c3F3143234Ac97FC0d5957c11B8a2C94,206350.1226
0x1BcCf995cc388a378d34d09687Ed59B8e11e8E32,RWB,RWB,1,RWB,null,32,1,,
,,,,,,,,0x70CDFe8D679a0A16d5AC50b1512Fd228EC66fbfc,6.365275
0x4ef60f11BA9DD3da80889139bE5A9d684baE4550,GOD,GOD,1,GODToken,null,23,4,,
,,,,,,,,0xd5FA470579571ec3Aa74634b65D1fd1D9406dC41,4754.1576
0x7B9435EdA29B59e7C66C132A8FB091737C3208e7,French,French,1,GGGToken,null,38,1,,
,,,,,,,,0x556626F32b32C5aA394069f01344AdDa3E2CAF29,1184.8637999999999
0xc7bd7465229AdD37fd0a2aA108075cac854772d6,StarShow,SRS,1,SrsToken,null,27,1,,
,,,,,,,,0x2bfBb1033E12c93622fc7d98C0EDaB8f3141A027,54145.960768
0x68A6BE239dd40cc3BCc21aAA7d735d4730F5628F,Rabbit King,Rabbit King,1,GGGToken,null,38,1,,
,,,,,,,,0xdbd01804E466E3a00dDf430e981D8552909a2502,1073.048843
0xE3bc81CaF12F5Aa3B6E46F7d4925CA5f27141314,1040,1040,1,GGGToken,null,38,1,,
,,,,,,,,0x272077b6a191216A3344EC965Cb035b6a3807F54,157.647965
0xa942c8414326659a93Ae95ddbcd9a1D27C596F41,RLR,RLR,1,RLR,null,31,1,,
,,,,,,,,0x834C0bF2425b7F4b284c629a41Ec8c093A56f53c,615.685911
0x0684D7c5ea457fE53Ab7966BF70664Da521cf356,GT,GT,1,GGGToken,null,38,1,,
,,,,,,,,0x9EB21e8B4C807e520434fA860509D5c6393425F1,430.566424
0xb0Ee373c22bAcA1a343e6Ac8eF075215D792ba6C,Seven Token,SEVEN,1,SevenToken,null,14,1,,
,,,,,,,,0x209b92f1F665c91a4831fD71CAA54463e6549eEc,94677.20253
0xEaeB036dc13Cf0FCc6e38bd50D464B3A37bdfd2d,DELTA,DELTA,1,DeltaToken,null,22,4,,
,,,,,,,,0x8aA0Ca0A7D4007c63dDE84373323703fe95aD5A0,3094.8923999999997
0x6622fEc18332Afe750DB97ab5F1f06bCF2b9Dc6F,ShibDemon,ShibDemon,1,GGGToken,null,38,1,,
,,,,,,,,0xFf4b3cA436aa802Da8D8a2D73D01340170dC60A8,1190.6754
0xEa2F070C1B72012AfB0ec30C267a792424027688,Five,Five,1,FiveToken,null,23,2,,
0x1b5bf576fDebA5421ba77ECF4E25D2B9d1bE97Dd,Victory,VIC,1,Victory,null,35,3,,
0x79B2B0A25925FB3A35846D085DdAa2a69031171d,XRT,XRT,1,XRT,null,17,1,,
,,,,,,,,0x20B0c29075711EC3eA7d4052A990E0D185c1a8F8,591.152529
0x047bfBD1576459Ee43A80e10a6B64AB41B6D4768,SPACE,SPACE,1,SPACE,null,26,4,,
0x34713eabA439e1fa90796922c2bd856AE78E356F,MD,MiniDisc,1,MiniDisc,null,60,3,,
0x0f5802eB6b36b978b9b57165AE005ce1bd48E9a2,TOM,TOM,1,TOM,null,8,1,,
,,,,,,,,0x41338E17D75980612FD4E77f34E461Fbee0128eB,196688.282287
0xBa5316738C19dA986e65EE1917978642E5397F0C,New Game New Master,NGN,1,NGN,null,19,3,,
,,,,,,,,0x1029b5FDaf8232A036B5C4Bf92E9D47e6209942F,9871.934441
0x7F187c73D706ae1C3501164251ab7d300FCd5AEE,仰望U8,U8,1,GGGToken,null,38,1,,
,,,,,,,,0xBF5eEa415E27643916520B61657694DcB238BBd9,323.021286
0x4897ee29816D462659BfB91dFBd4511dE9eFEd58,QL,QL,1,GGGToken,null,38,1,,
,,,,,,,,0xd3B9e089BE3018e430039512a301851A16bEeDF3,1716.324197
0x432002a617B687aFBf78E26Ca3a9d7159bA79558,MetaBox,MBX,1,MetaBox,null,38,5,,
0x69f42963683eBdf7754677A87614c98568CE4Ec0,Fair Coin,Fair,1,FairToken,null,0,3,,
0xAf2045803bA3539a7FE3B0c93768Bf6DD2a1e489,3344,3344,1,GGGToken,null,38,1,,
,,,,,,,,0x8AEd351fa7D82BC3Ab737A8013961ee859e34F6A,1466.75166
0xd5B84de0F2eEE2be7B763D241056D4883b6B76EE,DaPiXiu,DaPiXiu,1,GGGToken,null,38,1,,
,,,,,,,,0x923C9542E0956cB844D36a483ee95e64CA2400eb,987.456136
0x3cc5f8a4522E036F5E97275601c0C1698c9e4B3F,CWG,CWG,1,CWGToken,null,29,3,,
,,,,,,,,0x50A488c3CE607Fd7fA5c4A6dA6aFEd6E143710b8,2565.649196
0xe692E1F3A4AA3b76EeA9b7aD40Ef59c7138d2307,Chain Space,CHSP,1,CHSPToken,null,22,2,,
0x43A462A28Df16C69E04F89f2ca9C780A012e9502,BSJ,BSJ,1,GGGToken,null,38,1,,
,,,,,,,,0xf3fBB3e8107a5B64203aB3790104ce67291BEF75,10263.56517
0x1be9E9C7A904FC81F3507dDb0fF5511aE9396ebe,413SHIB,413SHIB,1,GGGToken,null,38,1,,
,,,,,,,,0xE1D4DAec534C895aA41750AfA77c679c219371b7,315.660991
0x37E57D180A935D49E7C2d62D74b4dE0E216c6F8D,老赖不躺平,Lao Lai BTP,1,GGGToken,null,38,1,,
,,,,,,,,0xE25ae96ba8e39D3c675Bd074fdE861B0FBa05222,13.350619
0xe627dA49A0C991889Dc33ab6fE8F1bcE4F2fA6b6,坑,坑,1,GGGToken,null,38,1,,
,,,,,,,,0xBF4338cCb6cc0056E136dA2a7861b79392290506,1.293418
